read_count,write_count,avg_read_speed_mbps,avg_write_speed_mbps,read_lba_variance,write_lba_variance,min_write_entropy,max_write_entropy,avg_write_entropy,label
4305,5576,8.41,10.89,1.32e+08,1.66e+08,1.051,3.058,1.988,1
3217,5497,6.28,10.74,5.52e+07,1.61e+08,1.051,2.976,1.975,1
1160,3635,2.27,7.10,7.18e+06,1.46e+08,1.528,2.976,2.016,1
921,2245,1.80,4.38,2.74e+08,2.51e+08,1.051,2.976,2.117,0
1994,3369,3.89,6.58,3.43e+08,1.83e+08,1.051,2.976,2.049,0
1957,4773,3.82,9.32,6.55e+07,1.71e+08,1.082,2.790,1.972,1
884,4961,1.73,9.69,4.17e+06,1.84e+08,1.545,3.697,1.956,0
0,3943,0.00,7.70,0.00e+00,1.53e+08,1.706,3.924,2.021,0
2039,3867,3.98,7.55,4.80e+08,1.74e+08,1.163,3.924,2.089,0
3981,4904,7.78,9.58,4.13e+08,1.29e+08,1.150,3.905,2.028,0
3500,5421,6.84,10.59,6.54e+07,1.57e+08,1.089,3.697,1.980,1
2583,5179,5.04,10.12,4.07e+07,1.71e+08,1.089,3.697,1.981,1
1025,3855,2.00,7.53,8.54e+06,1.60e+08,1.749,3.697,1.986,1
508,3817,0.99,7.46,1.07e+08,1.70e+08,1.232,3.697,1.999,1
1875,4130,3.66,8.07,4.95e+08,1.71e+08,1.120,3.697,2.021,0
2692,4577,5.26,8.94,1.61e+08,1.38e+08,1.120,3.697,2.029,0
2420,4717,4.73,9.21,1.30e+08,1.98e+08,1.182,3.697,2.043,1
3074,4546,6.00,8.88,1.15e+08,1.53e+08,0.887,2.976,2.020,0
3948,5461,7.71,10.67,8.32e+07,1.59e+08,0.887,2.976,1.979,1
2290,5497,4.47,10.74,2.80e+07,1.61e+08,1.051,2.976,1.980,0
1184,4245,2.31,8.29,2.22e+08,1.93e+08,1.082,3.180,2.019,0
2818,4228,5.50,8.26,1.97e+08,1.40e+08,1.000,3.697,2.038,1
3894,5558,7.61,10.86,8.09e+07,1.65e+08,1.000,3.697,1.995,0
3795,5686,7.41,11.11,7.68e+07,1.72e+08,0.887,3.697,1.984,1
3883,5638,7.58,11.01,8.04e+07,1.70e+08,0.887,3.697,1.970,0
4077,5548,7.96,10.84,8.87e+07,1.64e+08,1.000,2.976,1.961,1
4118,5550,8.04,10.84,9.05e+07,1.64e+08,1.051,2.976,1.969,0
3975,5393,7.76,10.53,8.43e+07,1.55e+08,1.019,3.089,1.966,0
2880,4103,5.62,8.01,4.43e+07,2.02e+08,1.019,3.281,2.015,1
3156,4134,6.16,8.07,1.11e+08,1.78e+08,1.000,3.697,2.061,0
4065,5412,7.94,10.57,1.14e+08,1.57e+08,1.000,3.697,2.012,0
2524,4446,4.93,8.68,8.58e+07,2.17e+08,1.151,3.697,2.003,1
2663,4425,5.20,8.64,1.23e+08,1.62e+08,1.151,3.149,1.994,1
4049,5441,7.91,10.63,8.75e+07,1.58e+08,1.051,3.089,1.981,0
4064,5464,7.94,10.67,8.81e+07,1.59e+08,1.051,3.697,1.976,0
3125,4983,6.10,9.73,1.02e+08,1.85e+08,1.000,3.697,1.989,0
3099,4960,6.05,9.69,9.62e+07,2.08e+08,1.000,2.976,2.007,0
3812,5082,7.45,9.93,7.75e+07,1.38e+08,0.887,2.976,1.993,1
3705,4796,7.24,9.37,7.32e+07,1.23e+08,0.887,3.089,1.984,0
3991,5147,7.79,10.05,8.50e+07,1.41e+08,0.887,3.089,1.977,1
3369,5471,6.58,10.69,6.16e+07,1.60e+08,0.887,2.976,1.976,0
2412,4758,4.71,9.29,1.20e+08,1.83e+08,1.082,3.219,2.010,0
2644,4781,5.16,9.34,9.97e+07,1.53e+08,0.969,3.219,2.017,0
2209,5128,4.31,10.02,5.23e+07,1.96e+08,0.969,3.219,2.013,0
2296,4810,4.48,9.39,1.21e+08,2.08e+08,1.051,3.599,2.054,1
2882,4391,5.63,8.58,1.46e+08,1.62e+08,1.039,3.599,2.044,0
3218,4729,6.29,9.24,9.41e+07,1.47e+08,1.000,3.697,1.997,0
3129,5038,6.11,9.84,7.37e+07,1.72e+08,1.000,3.905,2.019,1
2410,5046,4.71,9.86,6.86e+07,1.66e+08,1.051,3.905,2.015,1
2028,4419,3.96,8.63,1.27e+08,1.91e+08,1.051,3.697,1.998,0
2818,4239,5.50,8.28,1.36e+08,1.53e+08,1.120,3.697,2.025,1
3852,5209,7.52,10.17,7.92e+07,1.45e+08,1.120,3.697,1.991,0
3506,4841,6.85,9.46,6.56e+07,1.25e+08,1.120,3.697,1.956,0
3679,4981,7.19,9.73,7.22e+07,1.32e+08,1.000,3.697,1.964,0
2780,5370,5.43,10.49,4.12e+07,1.54e+08,1.000,3.697,1.965,1
2006,4549,3.92,8.88,1.46e+08,1.72e+08,0.887,3.697,1.974,0
3147,4435,6.15,8.66,1.49e+08,1.28e+08,0.887,3.599,1.993,0
3418,4902,6.68,9.57,6.23e+07,1.28e+08,0.887,3.697,1.985,0
1522,3762,2.97,7.35,1.24e+07,1.26e+08,0.887,3.905,1.987,0
1435,3214,2.80,6.28,1.50e+08,2.30e+08,1.120,3.905,2.037,1
3353,4641,6.55,9.06,1.65e+08,1.34e+08,0.938,3.697,2.023,0
3863,5743,7.54,11.22,7.96e+07,1.76e+08,0.938,2.790,2.000,0
3845,5817,7.51,11.36,7.89e+07,1.80e+08,1.000,2.976,1.999,1
3925,5646,7.67,11.03,8.22e+07,1.70e+08,1.000,3.697,1.979,1
3987,5648,7.79,11.03,8.48e+07,1.70e+08,0.887,3.697,1.979,0
3982,5553,7.78,10.85,8.46e+07,1.64e+08,0.887,3.697,1.994,1
4096,5442,8.00,10.63,8.95e+07,1.58e+08,1.000,3.089,1.988,1
2436,5570,4.76,10.88,3.17e+07,1.65e+08,1.000,3.697,1.984,0
360,3923,0.70,7.66,6.93e+05,1.63e+08,1.232,3.697,2.002,0
1113,3813,2.17,7.45,3.21e+08,1.82e+08,1.051,3.697,2.032,0
2133,4600,4.17,8.98,4.66e+08,2.10e+08,1.051,3.697,2.026,1
2536,4355,4.95,8.51,1.60e+08,1.88e+08,1.232,3.697,2.053,1
3501,4821,6.84,9.42,7.85e+07,1.43e+08,1.051,3.697,2.041,1
3662,5188,7.15,10.13,7.15e+07,1.44e+08,0.887,3.697,1.989,1
1677,3953,3.28,7.72,1.50e+07,1.76e+08,0.887,3.860,1.989,1
1988,3650,3.88,7.13,1.74e+08,2.14e+08,1.082,3.860,2.033,1
3976,5219,7.77,10.19,2.05e+08,1.47e+08,1.051,3.795,1.998,1
2066,5077,4.04,9.92,2.28e+07,1.45e+08,1.051,3.697,1.975,1
2174,4824,4.25,9.42,1.28e+08,2.04e+08,1.051,3.149,2.021,0
4088,5183,7.98,10.12,1.66e+08,1.44e+08,1.051,3.697,2.012,0
3692,5565,7.21,10.87,7.27e+07,1.65e+08,1.051,3.697,1.983,0
2518,4722,4.92,9.22,8.11e+07,2.02e+08,1.051,3.697,2.060,1
815,3291,1.59,6.43,5.29e+07,1.65e+08,1.082,3.250,2.099,1
1542,4174,3.01,8.15,1.56e+08,1.79e+08,0.969,3.180,1.999,0
2606,4353,5.09,8.50,2.50e+08,2.09e+08,0.969,3.599,2.048,1
2585,4086,5.05,7.98,1.46e+08,1.43e+08,1.008,3.599,2.079,0
3330,5265,6.50,10.28,8.48e+07,1.61e+08,1.039,2.976,2.015,0
3009,4832,5.88,9.44,1.12e+08,1.85e+08,1.100,3.599,2.002,1
1915,4795,3.74,9.37,6.06e+07,1.57e+08,1.200,3.599,1.992,1
1598,3845,3.12,7.51,2.13e+08,2.35e+08,1.120,3.697,2.022,0
2819,4000,5.51,7.81,1.92e+08,1.60e+08,1.051,3.697,2.041,1
3861,5783,7.54,11.29,7.95e+07,1.78e+08,1.051,3.697,1.999,0
2139,5725,4.18,11.18,2.44e+07,1.75e+08,1.051,3.697,1.988,1
213,5226,0.42,10.21,2.43e+05,2.02e+08,1.151,3.697,1.979,1
640,3753,1.25,7.33,7.37e+08,2.08e+08,1.639,3.905,1.998,1
2700,4159,5.27,8.12,5.62e+08,1.57e+08,1.120,3.905,2.008,1
4032,5496,7.88,10.73,8.67e+07,1.61e+08,1.000,3.697,1.974,0
3517,4677,6.87,9.13,6.60e+07,1.17e+08,0.887,3.697,1.958,1
3472,4621,6.78,9.03,6.43e+07,1.14e+08,0.887,3.697,1.976,0
3989,5329,7.79,10.41,8.49e+07,1.51e+08,1.039,3.697,1.966,0
3953,5432,7.72,10.61,8.34e+07,1.57e+08,1.039,3.697,1.971,1
3931,5581,7.68,10.90,8.24e+07,1.66e+08,1.200,3.697,1.992,0
4086,5654,7.98,11.04,8.91e+07,1.71e+08,1.120,3.697,1.985,1
4303,5605,8.40,10.95,9.88e+07,1.68e+08,1.120,3.697,1.983,1
4372,5530,8.54,10.80,1.02e+08,1.63e+08,1.232,3.697,1.996,0
4296,5538,8.39,10.82,9.85e+07,1.64e+08,1.232,3.697,1.999,0
4287,5533,8.37,10.81,9.80e+07,1.63e+08,1.051,3.697,1.985,1
4116,5493,8.04,10.73,9.04e+07,1.61e+08,1.051,3.697,1.973,1
4080,5493,7.97,10.73,8.88e+07,1.61e+08,1.151,3.697,1.988,1
4270,5559,8.34,10.86,9.73e+07,1.65e+08,1.232,3.697,1.997,0
3136,4805,6.12,9.38,1.00e+08,1.95e+08,1.639,3.697,2.028,1
2831,4831,5.53,9.44,8.20e+07,1.65e+08,1.000,3.697,2.021,1
3829,5646,7.48,11.03,7.82e+07,1.70e+08,1.000,3.089,1.991,0
3955,5739,7.72,11.21,8.34e+07,1.76e+08,1.000,3.089,2.000,1
3925,5686,7.67,11.11,8.22e+07,1.72e+08,1.000,2.976,1.996,0
3969,5460,7.75,10.66,8.40e+07,1.59e+08,1.000,2.976,1.985,0
4219,5411,8.24,10.57,9.50e+07,1.56e+08,1.000,3.697,1.976,0
4146,5559,8.10,10.86,9.17e+07,1.65e+08,1.000,3.697,1.981,0
4055,5645,7.92,11.03,8.77e+07,1.70e+08,0.938,3.697,1.978,0
4063,5568,7.94,10.88,8.81e+07,1.65e+08,0.938,3.697,1.982,0
3933,5404,7.68,10.55,8.25e+07,1.56e+08,0.926,3.697,1.993,1
2757,5017,5.38,9.80,4.06e+07,1.42e+08,0.926,3.697,1.995,1
1648,4542,3.22,8.87,4.84e+07,1.96e+08,1.497,3.697,2.011,0
2297,4126,4.49,8.06,1.50e+08,1.78e+08,1.082,3.129,2.058,1
2592,4710,5.06,9.20,7.91e+07,1.22e+08,1.082,3.599,2.040,0
2529,5086,4.94,9.93,4.77e+07,1.95e+08,1.051,3.599,2.025,0
2833,5135,5.53,10.03,5.06e+07,1.58e+08,1.000,3.089,2.019,1
2838,5451,5.54,10.65,4.30e+07,1.59e+08,1.000,3.697,1.982,1
2781,5334,5.43,10.42,4.13e+07,1.52e+08,1.000,3.697,1.979,0
2715,5434,5.30,10.61,3.93e+07,1.58e+08,0.969,3.089,1.986,1
2334,5452,4.56,10.65,2.91e+07,1.59e+08,0.969,3.697,1.984,0
2214,5231,4.32,10.22,6.88e+07,1.64e+08,1.120,3.697,1.977,1
2455,5241,4.79,10.24,5.95e+07,1.52e+08,1.528,3.697,1.987,1
2600,5211,5.08,10.18,3.61e+07,1.45e+08,1.120,3.697,1.982,0
2653,5151,5.18,10.06,3.76e+07,1.42e+08,1.120,3.697,1.977,0
2702,5338,5.28,10.43,3.90e+07,1.52e+08,1.051,3.697,1.985,1
2396,4476,4.68,8.74,3.59e+07,1.64e+08,1.051,3.905,2.017,1
1518,4504,2.96,8.80,3.54e+07,1.59e+08,1.772,3.905,2.019,1
545,4971,1.06,9.71,2.91e+06,1.62e+08,1.765,3.697,1.998,1
942,4330,1.84,8.46,2.04e+08,1.93e+08,1.232,3.697,2.014,0
2294,4781,4.48,9.34,1.86e+08,1.44e+08,1.232,3.697,2.007,0
2777,5347,5.42,10.44,4.11e+07,1.53e+08,1.663,3.697,1.999,1
2626,5459,5.13,10.66,3.68e+07,1.59e+08,1.706,3.697,1.999,1
2578,5504,5.04,10.75,3.55e+07,1.62e+08,1.232,3.697,1.998,1
2371,5431,4.63,10.61,3.00e+07,1.57e+08,1.232,3.697,1.997,1
994,4894,1.94,9.56,5.27e+06,1.61e+08,1.706,3.905,2.006,1
693,3764,1.35,7.35,1.60e+08,1.85e+08,1.627,3.905,2.052,0
1180,4336,2.30,8.47,1.75e+08,1.45e+08,1.627,3.795,2.026,1
1635,5228,3.19,10.21,8.36e+07,1.62e+08,1.737,3.697,2.013,1
2402,5177,4.69,10.11,8.13e+07,1.50e+08,1.151,3.697,2.015,0
2017,4717,3.94,9.21,5.05e+07,1.64e+08,1.151,3.697,2.013,1
1984,4666,3.88,9.11,4.59e+07,1.46e+08,1.151,3.697,2.020,0
2607,5176,5.09,10.11,3.63e+07,1.43e+08,1.051,3.697,1.994,0
2649,5218,5.17,10.19,3.74e+07,1.45e+08,1.051,3.697,1.993,1
2679,5295,5.23,10.34,3.83e+07,1.50e+08,1.706,3.697,1.997,1
2426,5133,4.74,10.03,3.14e+07,1.41e+08,1.163,3.697,1.988,0
2496,5045,4.88,9.85,4.92e+07,1.48e+08,1.163,3.697,2.024,1
2530,4565,4.94,8.92,4.31e+07,1.15e+08,1.051,3.697,2.024,0
2332,4253,4.55,8.31,2.90e+07,9.65e+07,1.039,3.697,1.957,0
2596,4863,5.07,9.50,3.60e+07,1.26e+08,1.039,2.976,1.974,1
2183,5278,4.26,10.31,2.54e+07,1.49e+08,1.051,2.976,1.995,1
1590,3877,3.11,7.57,5.65e+07,2.03e+08,0.895,3.089,2.023,0
1964,3843,3.84,7.51,7.17e+07,1.42e+08,0.895,3.269,2.043,1
2569,5173,5.02,10.10,3.52e+07,1.43e+08,1.000,3.697,1.991,0
2686,5026,5.25,9.82,3.85e+07,1.35e+08,1.000,3.697,1.968,0
2609,5098,5.10,9.96,3.63e+07,1.39e+08,1.039,3.697,1.983,1
2586,5282,5.05,10.32,3.57e+07,1.49e+08,0.887,2.976,1.986,1
2740,5094,5.35,9.95,4.01e+07,1.38e+08,0.887,3.089,1.976,1
2689,4929,5.25,9.63,3.86e+07,1.30e+08,1.051,3.089,1.977,1
2638,5076,5.15,9.91,3.71e+07,1.37e+08,1.051,3.697,1.979,1
2672,5223,5.22,10.20,3.81e+07,1.46e+08,1.120,3.697,1.972,0
2685,5120,5.24,10.00,3.85e+07,1.40e+08,1.051,3.697,1.969,0
2705,5081,5.28,9.92,3.90e+07,1.38e+08,1.051,3.697,1.965,1
2698,5207,5.27,10.17,3.88e+07,1.45e+08,1.000,2.976,1.985,0
2755,5143,5.38,10.04,4.05e+07,1.41e+08,1.000,3.697,1.993,1
2810,5229,5.49,10.21,4.21e+07,1.46e+08,0.887,3.697,1.983,0
2771,5196,5.41,10.15,4.10e+07,1.44e+08,0.887,3.697,1.977,0
2752,5053,5.38,9.87,4.04e+07,1.36e+08,1.051,3.697,1.984,0
2837,5077,5.54,9.92,4.29e+07,1.37e+08,1.485,3.697,2.002,0
2731,5085,5.33,9.93,3.98e+07,1.38e+08,1.120,3.697,2.001,1
1283,4843,2.51,9.46,8.79e+06,1.37e+08,1.120,3.697,2.011,0
1103,4133,2.15,8.07,9.95e+07,1.68e+08,1.082,3.697,2.069,0
2196,4483,4.29,8.76,1.07e+08,1.29e+08,1.082,3.697,2.039,1
2530,5236,4.94,10.23,4.59e+07,1.49e+08,1.232,3.697,2.021,0
2474,5045,4.83,9.85,5.72e+07,1.54e+08,1.225,2.976,2.067,0
2399,5011,4.69,9.79,4.33e+07,1.43e+08,1.039,3.697,2.053,1
2636,5242,5.15,10.24,3.71e+07,1.47e+08,1.039,3.697,2.017,1
2647,5165,5.17,10.09,3.74e+07,1.42e+08,1.151,3.697,1.997,1
2719,5144,5.31,10.05,3.94e+07,1.41e+08,0.969,3.697,1.986,1
1894,5269,3.70,10.29,1.91e+07,1.48e+08,0.969,3.697,1.976,0
1475,4815,2.88,9.40,8.98e+07,1.58e+08,1.120,3.697,1.988,0
2248,4988,4.39,9.74,9.05e+07,1.48e+08,0.887,3.697,1.998,1
2626,5504,5.13,10.75,3.68e+07,1.62e+08,0.887,3.697,1.996,1
2433,5536,4.75,10.81,3.16e+07,1.63e+08,1.151,3.697,1.998,1
2295,5564,4.48,10.87,2.81e+07,1.65e+08,1.674,3.697,1.996,0
2625,5336,5.13,10.42,3.68e+07,1.52e+08,1.706,3.697,1.981,1
2686,5362,5.25,10.47,3.85e+07,1.53e+08,1.674,3.697,1.966,1
2642,5473,5.16,10.69,3.72e+07,1.60e+08,1.559,3.697,1.994,0
2844,5372,5.55,10.49,4.32e+07,1.54e+08,1.559,3.697,2.014,1
2774,5401,5.42,10.55,4.11e+07,1.56e+08,1.051,3.697,1.995,1
2800,5365,5.47,10.48,4.18e+07,1.54e+08,1.051,3.697,1.995,1
2910,5204,5.68,10.16,4.52e+07,1.44e+08,1.232,3.697,2.004,0
2787,5356,5.44,10.46,4.14e+07,1.53e+08,0.887,3.697,1.994,0
2683,5508,5.24,10.76,3.84e+07,1.62e+08,0.887,3.697,1.996,1
2764,5376,5.40,10.50,4.08e+07,1.54e+08,1.200,3.697,1.998,0
2763,5435,5.40,10.62,4.07e+07,1.58e+08,1.051,3.697,1.988,1
2629,5425,5.13,10.60,3.69e+07,1.57e+08,1.000,3.697,1.984,1
2641,5123,5.16,10.01,3.72e+07,1.40e+08,1.000,3.697,1.978,1
2753,5228,5.38,10.21,4.04e+07,1.46e+08,1.000,2.976,1.985,1
2793,5480,5.46,10.70,4.16e+07,1.60e+08,1.000,3.089,1.993,0
2203,5507,4.30,10.76,2.59e+07,1.62e+08,1.000,3.697,1.981,0
1688,4889,3.30,9.55,6.89e+07,1.96e+08,1.120,3.697,2.000,1
2315,4731,4.52,9.24,7.50e+07,1.47e+08,1.000,3.089,2.023,0
2819,5352,5.51,10.45,4.24e+07,1.53e+08,1.000,3.089,1.998,1
2911,5293,5.69,10.34,4.52e+07,1.49e+08,1.051,2.976,1.991,0
2524,5308,4.93,10.37,3.40e+07,1.50e+08,1.449,2.976,2.002,0
2284,5289,4.46,10.33,4.73e+07,1.59e+08,1.151,2.976,2.006,0
2426,4609,4.74,9.00,4.36e+07,1.16e+08,1.151,3.089,1.994,1
2458,4821,4.80,9.42,3.22e+07,1.24e+08,1.051,3.697,1.987,1
2649,5448,5.17,10.64,3.74e+07,1.58e+08,1.051,3.697,1.991,1
2660,5374,5.20,10.50,3.78e+07,1.54e+08,1.200,3.697,1.996,1
2581,5354,5.04,10.46,3.55e+07,1.53e+08,1.120,3.697,1.996,1
3150,5033,6.15,9.83,5.29e+07,1.35e+08,1.039,3.697,1.987,0
3902,4764,7.62,9.30,8.12e+07,1.21e+08,1.039,3.697,1.977,1
2567,4855,5.01,9.48,3.52e+07,1.26e+08,1.120,3.697,1.975,0
2115,4243,4.13,8.29,1.80e+08,1.60e+08,1.120,3.697,2.023,1
3582,4270,7.00,8.34,1.53e+08,1.22e+08,1.151,3.697,2.036,1
3926,4936,7.67,9.64,8.22e+07,1.30e+08,1.151,3.697,1.985,1
3786,4910,7.39,9.59,7.65e+07,1.29e+08,1.120,3.697,1.987,1
3835,4921,7.49,9.61,7.85e+07,1.29e+08,1.008,3.697,1.986,1
3468,4931,6.77,9.63,6.42e+07,1.30e+08,1.008,3.697,1.972,1
2374,4056,4.64,7.92,9.05e+07,1.40e+08,1.039,3.905,1.998,0
2300,3922,4.49,7.66,8.50e+07,1.22e+08,1.077,3.905,1.999,0
2751,4524,5.37,8.84,8.71e+07,1.30e+08,1.077,3.697,1.979,1
3169,4702,6.19,9.18,8.02e+07,1.31e+08,1.120,3.697,1.982,0
3937,4959,7.69,9.69,8.27e+07,1.31e+08,1.151,3.697,1.987,0
4110,4852,8.03,9.48,9.01e+07,1.26e+08,1.051,3.697,2.001,0
4062,4858,7.93,9.49,8.80e+07,1.26e+08,1.051,3.697,2.001,0
3819,4976,7.46,9.72,7.78e+07,1.32e+08,1.706,3.697,1.999,0
3463,4937,6.76,9.64,6.40e+07,1.30e+08,1.051,3.697,1.997,1
3236,4951,6.32,9.67,5.59e+07,1.31e+08,1.051,3.697,1.994,0
3045,4247,5.95,8.29,8.65e+07,1.78e+08,1.120,3.697,2.045,0
3375,4067,6.59,7.94,8.15e+07,1.22e+08,1.232,2.976,2.046,1
3802,4688,7.43,9.16,7.71e+07,1.17e+08,1.232,3.697,1.986,1
2391,3776,4.67,7.38,4.16e+07,1.22e+08,1.449,3.891,2.016,0
2162,3812,4.22,7.45,7.77e+07,1.30e+08,1.564,3.891,2.046,1
3570,4704,6.97,9.19,6.80e+07,1.18e+08,1.564,3.697,2.011,0
3550,4669,6.93,9.12,6.72e+07,1.16e+08,1.120,3.697,1.992,0
3476,4675,6.79,9.13,6.45e+07,1.17e+08,1.082,3.697,1.989,0
3696,4677,7.22,9.13,7.29e+07,1.17e+08,1.082,3.697,1.969,1
3565,4689,6.96,9.16,6.78e+07,1.17e+08,1.051,3.089,1.952,1
3520,4715,6.88,9.21,6.61e+07,1.19e+08,1.000,3.697,1.965,1
3544,4726,6.92,9.23,6.70e+07,1.19e+08,1.000,3.697,1.967,1
3330,4657,6.50,9.10,5.92e+07,1.16e+08,1.000,3.697,1.979,1
3483,4610,6.80,9.00,6.47e+07,1.13e+08,1.039,3.697,1.986,0
3711,4679,7.25,9.14,7.35e+07,1.17e+08,0.887,2.976,1.974,1
3140,4757,6.13,9.29,5.26e+07,1.21e+08,0.887,3.697,1.973,0
1832,3604,3.58,7.04,5.34e+07,1.37e+08,1.151,3.905,2.009,0
2350,3610,4.59,7.05,1.17e+08,1.41e+08,1.163,3.905,2.081,1
2875,4242,5.62,8.29,9.58e+07,1.36e+08,1.163,3.697,2.105,0
2294,4066,4.48,7.94,9.89e+07,1.28e+08,1.077,3.281,2.110,0
1892,3918,3.70,7.65,8.99e+07,1.35e+08,1.077,3.860,2.069,0
2602,4032,5.08,7.88,9.38e+07,1.35e+08,1.051,3.860,2.018,1
3424,4406,6.69,8.61,6.25e+07,1.04e+08,1.051,3.697,1.982,1
1988,4493,3.88,8.78,2.11e+07,1.08e+08,1.120,3.697,1.968,0
1748,3829,3.41,7.48,1.18e+08,9.03e+07,1.039,3.089,2.030,1
3066,3519,5.99,6.87,1.15e+08,7.20e+07,1.039,3.697,2.037,1
2285,4352,4.46,8.50,2.79e+07,1.01e+08,1.039,3.697,1.980,0
1252,3823,2.45,7.47,1.03e+08,1.35e+08,1.151,3.697,1.979,0
789,3026,1.54,5.91,1.01e+08,1.03e+08,1.449,2.976,1.999,0
792,3656,1.55,7.14,1.12e+08,1.17e+08,1.449,2.976,2.006,1
2361,4225,4.61,8.25,2.54e+08,1.11e+08,1.639,2.976,2.037,1
2995,4113,5.85,8.03,9.97e+07,9.61e+07,1.039,3.697,2.043,1
2275,3668,4.44,7.16,6.68e+07,1.15e+08,1.039,3.905,2.019,0
988,3879,1.93,7.58,4.33e+07,1.14e+08,1.039,3.905,2.012,0
1202,3950,2.35,7.71,1.82e+08,1.34e+08,1.082,3.180,2.030,1
2787,3872,5.44,7.56,1.64e+08,1.05e+08,1.082,3.697,2.025,0
2894,3656,5.65,7.14,4.47e+07,7.13e+07,1.019,3.697,1.968,0
2750,3516,5.37,6.87,4.03e+07,6.60e+07,1.000,3.697,1.969,0
3360,4434,6.56,8.66,6.02e+07,1.05e+08,1.000,3.697,1.975,0
3379,4691,6.60,9.16,6.09e+07,1.17e+08,1.051,3.697,1.969,1
3483,4613,6.80,9.01,6.47e+07,1.14e+08,1.051,3.697,1.982,1
2494,4400,4.87,8.59,3.32e+07,1.07e+08,1.232,3.955,1.997,1
2308,4116,4.51,8.04,1.29e+08,1.46e+08,1.151,3.987,2.038,0
3498,4134,6.83,8.07,1.23e+08,9.71e+07,1.051,3.987,2.015,1
2232,3792,4.36,7.41,2.66e+07,9.27e+07,1.051,3.697,1.979,1
2237,3624,4.37,7.08,9.58e+07,1.73e+08,1.051,3.697,2.024,1
3668,4286,7.16,8.37,1.13e+08,9.83e+07,1.051,3.089,2.011,1
3531,4471,6.90,8.73,6.65e+07,1.07e+08,0.988,3.697,1.977,0
3414,4439,6.67,8.67,6.22e+07,1.05e+08,0.988,3.697,1.977,1
3477,4484,6.79,8.76,6.45e+07,1.07e+08,1.039,3.697,1.981,0
3409,4456,6.66,8.70,6.20e+07,1.06e+08,1.039,3.697,1.969,0
3387,4467,6.62,8.72,6.12e+07,1.06e+08,1.039,3.089,1.979,1
3622,4478,7.07,8.75,7.00e+07,1.07e+08,1.151,2.976,1.991,0
3742,4462,7.31,8.71,7.47e+07,1.06e+08,1.151,2.976,1.992,1
3671,4470,7.17,8.73,7.19e+07,1.07e+08,1.417,2.976,1.995,0
3708,4526,7.24,8.84,7.33e+07,1.09e+08,1.232,2.976,1.994,1
3644,4525,7.12,8.84,7.08e+07,1.09e+08,1.120,2.976,1.979,1
3744,4523,7.31,8.83,7.48e+07,1.09e+08,1.120,2.976,1.980,0
3830,4529,7.48,8.85,7.83e+07,1.09e+08,1.151,2.976,1.990,1
3777,4554,7.38,8.89,7.61e+07,1.11e+08,1.151,2.976,1.987,0
2745,4565,5.36,8.92,4.02e+07,1.11e+08,1.151,2.976,1.988,0
2021,3698,3.95,7.22,1.53e+08,1.47e+08,1.051,2.976,2.027,0
